scenario,method,vr,rmse_m,area_over_threshold,max_overshoot,recovery_steps_mean,recovery_steps_max,esr_camera
random_drop_10,fixed_low,0.0,0.35073079086486386,0.0,0.0,,,9.038780745435341
random_drop_10,fixed_matched,0.0,0.41418914561127607,0.0,0.0,,,6.020823902218199
random_drop_10,heuristic,0.0,0.467054324116793,0.0,0.0,,,4.5193903727176705
random_drop_10,event_trigger,0.0003017956843217142,0.3350405764398367,7.407625401598789e-07,0.00460595510964823,,,4.926814546551984
random_drop_10,delay_aware,0.0,0.6737056768773205,0.0,0.0,,,1.8032292138222425
random_drop_10,sb_sched,0.0,0.6955694485598893,0.0,0.0,,,1.664932362122789
random_drop_30,fixed_low,0.0,0.39131241204388983,0.0,0.0,,,6.994114984155727
random_drop_30,fixed_matched,0.0,0.46104169762693403,0.0,0.0,,,4.662743322770485
random_drop_30,heuristic,0.0,0.5058883461118654,0.0,0.0,,,3.7724460540214277
random_drop_30,event_trigger,0.00599818922589407,0.35341848972587836,4.2149205922853665e-05,0.025277936255862693,,,4.3383129621246415
random_drop_30,delay_aware,0.00037724460540214275,0.6851486806404007,6.457125179294832e-07,0.0029607507074632666,,,1.7579598611739853
random_drop_30,sb_sched,0.0014712539610683567,0.7084522596136545,5.5157267533107556e-06,0.010589199151982143,,,1.6426341608443586
random_drop_50,fixed_low,0.0,0.45725743267259783,0.0,0.0,,,5.002263467632413
random_drop_50,fixed_matched,0.000679040289723857,0.5404975150536728,2.1388637538819283e-06,0.007294284206017826,,,3.342387203862985
random_drop_50,heuristic,0.0,0.5599405360526994,0.0,0.0,,,3.3650218801871135
random_drop_50,event_trigger,0.012071827372868568,0.39195360006990154,0.00011473904052744625,0.040381463783477206,,,3.5385543986720993
random_drop_50,delay_aware,0.014976610834465068,0.7020092751443996,0.00019371730592763613,0.04529982841419472,,,1.6900558322015997
random_drop_50,sb_sched,0.01561792666364871,0.7243092272271081,0.0001315444798660262,0.03985387952935204,,,1.5831722907685448
burst_1s,fixed_low,0.019088577033348424,0.4402473647019223,0.00014761733024263373,0.015126788082397535,11.0,11.0,8.344650671495398
burst_1s,fixed_matched,0.03817715406669685,0.5056383135992615,0.0005863732382724932,0.03136462260233444,11.0,21.0,5.560585483627585
burst_1s,heuristic,0.053945978572506416,0.5572316565346672,0.0012021065064935807,0.046155302308581586,11.0,11.0,4.3383129621246415
burst_1s,event_trigger,0.08122076354308133,0.44101270259332825,0.0044055678033536804,0.16825416353511866,1.0,1.0,4.3986720989889845
burst_1s,delay_aware,0.07129923042100499,0.7287785721319524,0.0021169560959564153,0.0787912286959018,1.0,1.0,1.667421155877471
burst_1s,sb_sched,0.10276143051154368,0.7811331295430881,0.004679716424988535,0.10017719444200035,1.0,1.0,1.5014122194143007
burst_3s,fixed_low,0.2393617021276596,1.448215270549829,0.056830986916226255,0.6008094735285535,11.0,11.0,6.609325486645542
burst_3s,fixed_matched,0.2523766410140335,1.5272111072139578,0.06461093334860178,0.6548530869435452,11.0,11.0,4.406216991097027
burst_3s,heuristic,0.2574694431869624,1.5509731678496061,0.06779603648327766,0.676158730455623,1.0,1.0,3.4178361249434137
burst_3s,event_trigger,0.2867436245661687,1.4879941269084072,0.09033896911038423,1.028046485584733,1.0,1.0,3.282028066998642
burst_3s,delay_aware,0.3068884864946431,1.792100112130874,0.10531279099723294,0.9208810690312097,1.0,1.0,1.3279010110155425
burst_3s,sb_sched,0.31141542175946885,1.811015876984817,0.1096884632598844,0.9577945288863599,1.0,1.0,1.2189683365541848
